isLocalGuide,likesCount,fecha,tiempo_espera_reportado,rating_ambiente,rating_comida,rating_servicio,reviewerNumberOfReviews,rating,review_texto,restaurante,tiene_texto,text_limpio,idioma_detectado
False,0,2024-02-11 19:12:44.086000+00:00,,5.0,5.0,5.0,4,5,Muy rico todo y excelente atención.,Rukito Grill&Drink - Alborada,True,Muy rico todo y excelente atención.,es
True,0,2020-11-20 04:41:22.355000+00:00,,,,,9,5,Deliciosa la comida y buena la atención siempre pendiente de que estemos a gustos con la comida.,Rukito Grill&Drink - Alborada,True,Deliciosa la comida y buena la atención siempre pendiente de que estemos a gustos con la comida.,es
False,0,2021-01-30 21:05:40.330000+00:00,,,,,6,5,Muy buena atención,Rukito Grill&Drink - Alborada,True,Muy buena atención,es
True,0,2021-10-08 18:40:05.347000+00:00,,,,,27,5,"Rukitos es lo máximo, buena comida, eso si para ir a Rukitos tienes que ir con hambre por que de no, no te terminaras el plato, buen sabor, precios y buena atención,  siempre",Rukito Grill&Drink - Alborada,True,"Rukitos es lo máximo, buena comida, eso si para ir a Rukitos tienes que ir con hambre por que de no, no te terminaras el plato, buen sabor, precios y buena atención, siempre",es
True,0,2021-06-12 02:11:40.975000+00:00,,,,,98,5,"Buena atención, excelente comida, precios accesibles",Rukito Grill&Drink - Alborada,True,"Buena atención, excelente comida, precios accesibles",es
True,0,2022-02-13 14:17:15.485000+00:00,,,,,101,4,"Me encantó el moroclo, lo que no me agradó que a todos los platos les ponen chifles y no tienen una buena presentación del plato final, deben pulir eso.",Rukito Grill&Drink - Alborada,True,"Me encantó el moroclo, lo que no me agradó que a todos los platos les ponen chifles y no tienen una buena presentación del plato final, deben pulir eso.",es
True,0,2023-08-25 01:38:06.487000+00:00,,5.0,5.0,5.0,112,5,"Que buena hueca, el queso delicioso mejora todos los platos. Debo ir a comer.",Rukito Grill&Drink - Alborada,True,"Que buena hueca, el queso delicioso mejora todos los platos. Debo ir a comer.",es
False,0,2022-04-17 02:29:22.960000+00:00,,,,,1,2,"Me senti mal despúes de probar el pollo, sin mencionar la increible cantidad de comida que fue a desperdiciar, no volveria denuevo.",Rukito Grill&Drink - Alborada,True,"Me senti mal despúes de probar el pollo, sin mencionar la increible cantidad de comida que fue a desperdiciar, no volveria denuevo.",es
True,0,2021-08-08 14:05:43.983000+00:00,,,,,59,5,"Excelente lugar .... el menu es variado, tiene buen ambiente",Rukito Grill&Drink - Alborada,True,"Excelente lugar .... el menu es variado, tiene buen ambiente",es
True,0,2021-03-16 02:37:36.253000+00:00,,,,,63,5,"El mejor lugar de comida en la zona norte, sencillamente es todo lo que uno puede pedir como buen catador de comidas",Rukito Grill&Drink - Alborada,True,"El mejor lugar de comida en la zona norte, sencillamente es todo lo que uno puede pedir como buen catador de comidas",es
False,0,2021-08-27 09:48:08.841000+00:00,,,,,3,5,"Excelente atención, y la comida ni se diga, felicidades por tener un espacio acogedor, familiar, 👍🏼👍🏼*RUKITO GRILL",Rukito Grill&Drink - Alborada,True,"Excelente atención, y la comida ni se diga, felicidades por tener un espacio acogedor, familiar, 👍🏼👍🏼*RUKITO GRILL",es
True,0,2024-10-20 19:23:59.170000+00:00,,5.0,5.0,5.0,74,5,Muy buena atención y la comida bien despachada,Rukito Grill&Drink - Alborada,True,Muy buena atención y la comida bien despachada,es
False,0,2024-10-01 17:49:27.153000+00:00,,4.0,5.0,4.0,5,5,"Cambiar de cubiertos o utilidades, los que me dieron no cortaban las carnes , el resto ok",Rukito Grill&Drink - Alborada,True,"Cambiar de cubiertos o utilidades, los que me dieron no cortaban las carnes , el resto ok",es
False,0,2021-12-10 01:44:41.531000+00:00,,,,,7,4,"Todo bien, pero la música de ambiente es muy alta. Yo como cliente les recomiendo tener la música con un volumen más bajo.",Rukito Grill&Drink - Alborada,True,"Todo bien, pero la música de ambiente es muy alta. Yo como cliente les recomiendo tener la música con un volumen más bajo.",es
True,0,2021-11-08 05:18:38.989000+00:00,,,,,46,4,"Un excelente lugar para ir con la familia ha comer, tiene comida exquisita",Rukito Grill&Drink - Alborada,True,"Un excelente lugar para ir con la familia ha comer, tiene comida exquisita",es
False,0,2021-11-10 20:39:51.638000+00:00,,,,,9,5,Muy buena atención y excelente 👌 comida,Rukito Grill&Drink - Alborada,True,Muy buena atención y excelente 👌 comida,es
True,0,2026-01-27 09:46:47.611000+00:00,,5.0,5.0,5.0,467,5,Exelente atención 👌 personal muy amable educado desde q entras el señor de seguridad saluda cordialmente,Rukito Grill&Drink - Alborada,True,Exelente atención 👌 personal muy amable educado desde q entras el señor de seguridad saluda cordialmente,es
True,0,2022-12-18 22:53:41.233000+00:00,,5.0,5.0,5.0,34,5,Excelente lugar,Rukito Grill&Drink - Alborada,True,Excelente lugar,es
